TOWN	LATITUDE	LONGITUDE
Thetford, Norfolk, UK	52.412857	0.751657
Stornoway, Isle of Lewis, UK	58.209435	-6.384869
Stourbridge, West Midlands, UK	52.456890	-2.148731
Dereham, Dereham, Norfolk, UK	52.681618	0.937827
Newbury, West Berkshire, UK	51.401409	-1.323114
Fort William, Highland, UK	56.819817	-5.105218
Harrogate, North Yorkshire, UK	53.992119	-1.541812
Newick, East Sussex, UK	50.976154	0.016136
Worksop, Nottinghamshire, UK	53.309303	-1.122745
Westhoughton, Bolton, UK	53.543186	-2.529579
Mexborough, South Yorkshire, UK	53.493099	-1.280452
Hythe, Kent, UK	51.072899	1.079063
Ashburton, Devon	50.515774	-3.751395
Holloway, London, Greater London, UK	51.559143	-0.119820
Bexhill, East Sussex, UK	50.849998	0.470000
Margate, Kent, UK	51.389645	1.386834
Hove, The City of Brighton and Hove, UK	50.827930	-0.168749
Pickering, North Yorkshire, UK	54.243923	-0.777553
Sandwich, Kent, UK	51.274017	1.337427
Weymouth, Dorset, UK	50.614429	-2.457621
Falmouth, Cornwall, UK	50.152573	-5.066270
Saint Austell, Cornwall, UK	50.338001	-4.795000
Gerrards Cross, Buckinghamshire, UK	51.582363	-0.557500
Enniskillen, Northern Ireland, UK	54.350155	-7.637558
Cromer, Norfolk, UK	52.931450	1.301866
Bournemouth, UK	50.718395	-1.883377
Monmouth, NP, UK	51.816132	-2.714501
Warsop, Mansfield, Nottinghamshire, UK	53.204330	-1.154892
Hailsham, East Sussex, UK	50.864613	0.255234
Malton, North Yorkshire, UK	54.136837	-0.797897
Dingwall, Highland, UK	57.595348	-4.428411
Doncaster, UK	53.522820	-1.128462
Barwell, Leicester, Leicestershire, UK	52.568020	-1.346074
Guildford, Surrey, UK	51.215485	-0.631027
Wick, Highland, UK	58.439827	-3.087845
Lingfield, Surrey, UK	51.176983	-0.014126
Bracknell, Bracknell Forest, UK	51.416039	-0.753980
Ashford, Kent, UK	51.146465	0.875019
Burntwood, Staffordshire, UK	52.679935	-1.921781
Headcorn, Ashford, Kent, UK	51.172455	0.621071
Evesham, Worcestershire, UK	52.101444	-1.923981
