TOWN	LATITUDE	LONGITUDE	WIND_SPEED	WIND_DEGREES
Kirkby Lonsdale, Carnforth, Cumbria, UK	54.204918	-2.60171	1.91	179
Woodley, Wokingham, UK	51.451653	-0.902918	2.94	118
Walkden, Manchester, UK	53.523705	-2.398682	2.77	158
Goff's Oak, Hertfordshire, UK	51.709118	-0.086642	3.5	101
Ferring, West Sussex, UK	50.808994	-0.442571	4.12	110
Goole, East Riding of Yorkshire, UK	53.702942	-0.876381	4.47	151
Bourne, Bourne, Lincolnshire, UK	52.772446	-0.372849	3.68	149
Cardenden, Lochgelly, Fife, UK	56.148895	-3.256773	0.45	171
Dyce, Aberdeen, Aberdeen City, UK	57.203514	-2.190188	6.17	170
Chatham, Medway, UK	51.380951	0.52213	1.79	180
Cirencester, Gloucestershire, UK	51.718494	-1.968243	2.28	151
Boston, Lincolnshire, UK	52.978939	-0.026577	3.96	147
Port Solent, Portsmouth, Hampshire, UK	50.842991	-1.101002	1.34	110
Tadley, Hampshire, UK	51.3438	-1.132169	2.76	144
Fulham, London, UK	51.47871	-0.201702	6.17	90
Peterlee, County Durham, UK	54.765442	-1.323166	5.02	161
Harrow, London, UK	51.583015	-0.33782	5.14	100
Swadlincote, Derbyshire, UK	52.771317	-1.554997	5.14	140
Diss, Norfolk, UK	52.376492	1.108394	0.89	115
Redruth, Redruth, Cornwall, UK	50.239738	-5.237045	4.9	123
Leyton, London, UK	51.561947	-0.013139	6.17	90
Thetford, Norfolk, UK	52.412857	0.751657	3.38	121
Stornoway, Isle of Lewis, UK	58.209435	-6.384869	10.8	190
Stourbridge, West Midlands, UK	52.45689	-2.148731	2.98	153
Dereham, Dereham, Norfolk, UK	52.681618	0.937827	3.5	124
Newbury, West Berkshire, UK	51.401409	-1.323114	2.53	153
Fort William, Highland, UK	56.819817	-5.105218	1.95	180
Harrogate, North Yorkshire, UK	53.992119	-1.541812	3.09	170
Newick, East Sussex, UK	50.976154	0.016136	2.94	82
Worksop, Nottinghamshire, UK	53.309303	-1.122745	4.23	154
Westhoughton, Bolton, UK	53.543186	-2.529579	2.68	269
Mexborough, South Yorkshire, UK	53.493099	-1.280452	3.6	140
Hythe, Kent, UK	51.072899	1.079063	6.17	70
Ashburton, Devon	50.515774	-3.751395	1.47	80
Holloway, London, Greater London, UK	51.559143	-0.11982	6.17	90
Bexhill, East Sussex, UK	50.849998	0.47	5.35	60
Margate, Kent, UK	51.389645	1.386834	1.79	338
Hove, The City of Brighton and Hove, UK	50.82793	-0.168749	4.12	110
Pickering, North Yorkshire, UK	54.243923	-0.777553	3.07	126
Sandwich, Kent, UK	51.274017	1.337427	4.31	72
Weymouth, Dorset, UK	50.614429	-2.457621	0.89	108
Falmouth, Cornwall, UK	50.152573	-5.06627	4.73	109
Saint Austell, Cornwall, UK	50.338001	-4.795	5.66	130
Gerrards Cross, Buckinghamshire, UK	51.582363	-0.5575	5.14	100
Enniskillen, Northern Ireland, UK	54.350155	-7.637558	3.51	177
Cromer, Norfolk, UK	52.93145	1.301866	4.83	130
Bournemouth, UK	50.718395	-1.883377	2.06	160
Monmouth, NP, UK	51.816132	-2.714501	2.69	206
Warsop, Mansfield, Nottinghamshire, UK	53.20433	-1.154892	4.26	152
Hailsham, East Sussex, UK	50.864613	0.255234	1.34	0
Malton, North Yorkshire, UK	54.136837	-0.797897	4.02	137
Dingwall, Highland, UK	57.595348	-4.428411	2.37	175
Doncaster, UK	53.52282	-1.128462	3.6	140
Barwell, Leicester, Leicestershire, UK	52.56802	-1.346074	4.86	136
Guildford, Surrey, UK	51.215485	-0.631027	4.63	80
Wick, Highland, UK	58.439827	-3.087845	4.12	150
Lingfield, Surrey, UK	51.176983	-0.014126	4.63	70
Bracknell, Bracknell Forest, UK	51.416039	-0.75398	3.02	116
Ashford, Kent, UK	51.146465	0.875019	2.24	59
Burntwood, Staffordshire, UK	52.679935	-1.921781	1.79	162
Headcorn, Ashford, Kent, UK	51.172455	0.621071	3.14	64
Evesham, Worcestershire, UK	52.101444	-1.923981	2.89	135
Lurgan, Armagh, UK	54.468441	-6.333961	4.65	157
Horncastle, Lincolnshire, UK	53.20768	-0.116043	3.6	120
Craigavon, Northern Ireland, UK	54.453274	-6.404343	4.94	160
Bushey, Hertfordshire, UK	51.647614	-0.35842	4.12	100
Hither Green, London, UK	51.450508	-0.004453	6.17	90
Penrith, Cumbria, UK	54.649208	-2.755508	1.04	216
Croydon, Greater London, UK	51.376495	-0.100594	6.17	90
Misterton, Nottinghamshire, UK	53.44717	-0.841141	3.6	140
Chigwell, Essex, UK	51.626282	0.080647	6.17	90
Wembley, Greater London, UK	51.550503	-0.304841	4.63	90
Porthleven, Cornwall, UK	50.085304	-5.315853	4.91	113
Chafford Hundred, Essex, UK	51.489548	0.3108	6.17	90
Great Ayton, North Yorkshire, UK	54.492973	-1.140518	5.14	140
Ballycastle, Northern Ireland, UK	55.20454	-6.252594	5.22	156
Leigh-on-Sea, UK	51.544735	0.653	3.58	53
Chorley, Lancashire, UK	53.65221	-2.61974	1.79	285
Newport, Telford and Wrekin, UK	52.768555	-2.375587	3.57	158
Dover, Kent, UK	51.126369	1.316198	5.19	63
Limavady, UK	55.051434	-6.950054	4.94	164
Litcham, Norfolk, UK	52.724182	0.791488	3.61	128
Weybridge, Surrey, UK	51.371628	-0.457904	4.63	90
